City,State,Year,Anti-Jewish,Anti-Islamic,Full,clean,lat,long
Pinellas,FL,2014,0,0,Florida,"pinellas, florida",27.876394,-82.7778579
Pinellas,FL,2015,0,0,Florida,"pinellas, florida",27.876394,-82.7778579
Hillsborough,FL,2010,0,0,Florida,"hillsborough, florida",27.9903597,-82.3017728
Hillsborough,FL,2011,0,0,Florida,"hillsborough, florida",27.9903597,-82.3017728
Hillsborough,FL,2012,0,1,Florida,"hillsborough, florida",27.9903597,-82.3017728
Hillsborough,FL,2013,2,0,Florida,"hillsborough, florida",27.9903597,-82.3017728
Hillsborough,FL,2014,0,0,Florida,"hillsborough, florida",27.9903597,-82.3017728
Hillsborough,FL,2015,0,0,Florida,"hillsborough, florida",27.9903597,-82.3017728
Melbourne,FL,2010,2,0,Florida,"melbourne, florida",28.0836269,-80.6081089
Melbourne,FL,2011,0,0,Florida,"melbourne, florida",28.0836269,-80.6081089
Melbourne,FL,2012,1,0,Florida,"melbourne, florida",28.0836269,-80.6081089
Melbourne,FL,2013,0,1,Florida,"melbourne, florida",28.0836269,-80.6081089
Melbourne,FL,2014,0,0,Florida,"melbourne, florida",28.0836269,-80.6081089
Melbourne,FL,2015,0,0,Florida,"melbourne, florida",28.0836269,-80.6081089
Mount Dora,FL,2010,0,0,Florida,"mount dora, florida",28.8024918,-81.644519
Mount Dora,FL,2011,1,0,Florida,"mount dora, florida",28.8024918,-81.644519
Mount Dora,FL,2012,0,0,Florida,"mount dora, florida",28.8024918,-81.644519
Mount Dora,FL,2013,0,0,Florida,"mount dora, florida",28.8024918,-81.644519
Mount Dora,FL,2014,0,0,Florida,"mount dora, florida",28.8024918,-81.644519
Mount Dora,FL,2015,0,0,Florida,"mount dora, florida",28.8024918,-81.644519
Deland,FL,2010,0,0,Florida,"deland, florida",29.028318,-81.3031179
Deland,FL,2011,0,0,Florida,"deland, florida",29.028318,-81.3031179
Deland,FL,2012,0,0,Florida,"deland, florida",29.028318,-81.3031179
Deland,FL,2013,0,0,Florida,"deland, florida",29.028318,-81.3031179
Deland,FL,2014,0,0,Florida,"deland, florida",29.028318,-81.3031179
Deland,FL,2015,1,0,Florida,"deland, florida",29.028318,-81.3031179
Ocala,FL,2010,0,0,Florida,"ocala, florida",29.1871986,-82.1400923
Ocala,FL,2011,1,0,Florida,"ocala, florida",29.1871986,-82.1400923
Ocala,FL,2012,0,0,Florida,"ocala, florida",29.1871986,-82.1400923
Ocala,FL,2013,0,0,Florida,"ocala, florida",29.1871986,-82.1400923
Ocala,FL,2014,0,0,Florida,"ocala, florida",29.1871986,-82.1400923
Ocala,FL,2015,0,0,Florida,"ocala, florida",29.1871986,-82.1400923
Martin,FL,2010,1,0,Florida,"martin, florida",29.29361,-82.19056
Martin,FL,2011,0,0,Florida,"martin, florida",29.29361,-82.19056
Martin,FL,2012,0,0,Florida,"martin, florida",29.29361,-82.19056
Martin,FL,2013,0,0,Florida,"martin, florida",29.29361,-82.19056
Martin,FL,2014,0,0,Florida,"martin, florida",29.29361,-82.19056
Martin,FL,2015,0,0,Florida,"martin, florida",29.29361,-82.19056
Flagler,FL,2010,0,0,Florida,"flagler, florida",29.4086072,-81.2518833
Flagler,FL,2011,1,0,Florida,"flagler, florida",29.4086072,-81.2518833
Flagler,FL,2012,0,0,Florida,"flagler, florida",29.4086072,-81.2518833
Flagler,FL,2013,0,0,Florida,"flagler, florida",29.4086072,-81.2518833
Flagler,FL,2014,0,0,Florida,"flagler, florida",29.4086072,-81.2518833
Flagler,FL,2015,0,0,Florida,"flagler, florida",29.4086072,-81.2518833
San Antonio,TX,2010,0,0,Texas,"san antonio, texas",29.424582,-98.494607
San Antonio,TX,2011,0,0,Texas,"san antonio, texas",29.424582,-98.494607
San Antonio,TX,2012,2,2,Texas,"san antonio, texas",29.424582,-98.494607
