Anti_Jewish,Anti_Islamic,state,city,latitude,longitude,date
0,0,Arizona,Nogales,31.3403775,-110.9342532,2014
0,1,Arizona,Nogales,31.3403775,-110.9342532,2015
0,0,Texas,San Angelo,31.461502,-100.442417,2010
0,0,Texas,San Angelo,31.461502,-100.442417,2011
0,0,Texas,San Angelo,31.461502,-100.442417,2012
0,0,Texas,San Angelo,31.461502,-100.442417,2013
0,0,Texas,San Angelo,31.461502,-100.442417,2014
1,0,Texas,San Angelo,31.461502,-100.442417,2015
0,0,Texas,El Paso,31.759163,-106.487487,2010
0,0,Texas,El Paso,31.759163,-106.487487,2011
0,0,Texas,El Paso,31.759163,-106.487487,2012
0,0,Texas,El Paso,31.759163,-106.487487,2013
0,0,Texas,El Paso,31.759163,-106.487487,2014
0,1,Texas,El Paso,31.759163,-106.487487,2015
3,2,Arizona,Tucson,32.221551,-110.969758,2010
0,0,Arizona,Tucson,32.221551,-110.969758,2011
1,2,Arizona,Tucson,32.221551,-110.969758,2012
2,2,Arizona,Tucson,32.221551,-110.969758,2013
0,0,Arizona,Tucson,32.221551,-110.969758,2014
0,0,Arizona,Tucson,32.221551,-110.969758,2015
0,1,Arizona,University Of Arizona,32.2318851,-110.9501094,2010
1,0,Arizona,University Of Arizona,32.2318851,-110.9501094,2011
1,0,Arizona,University Of Arizona,32.2318851,-110.9501094,2012
0,0,Arizona,University Of Arizona,32.2318851,-110.9501094,2013
0,0,Arizona,University Of Arizona,32.2318851,-110.9501094,2014
0,0,Arizona,University Of Arizona,32.2318851,-110.9501094,2015
0,0,Texas,Tyler,32.347633,-95.294298,2010
0,0,Texas,Tyler,32.347633,-95.294298,2011
0,0,Texas,Tyler,32.347633,-95.294298,2012
0,0,Texas,Tyler,32.347633,-95.294298,2013
0,0,Texas,Tyler,32.347633,-95.294298,2014
0,1,Texas,Tyler,32.347633,-95.294298,2015
0,0,Arizona,Oro Valley,32.3909071,-110.966488,2010
0,0,Arizona,Oro Valley,32.3909071,-110.966488,2011
0,0,Arizona,Oro Valley,32.3909071,-110.966488,2012
0,0,Arizona,Oro Valley,32.3909071,-110.966488,2013
1,0,Arizona,Oro Valley,32.3909071,-110.966488,2014
0,0,Arizona,Oro Valley,32.3909071,-110.966488,2015
0,0,Louisiana,Ouachita,32.4271852,-92.2236667,2010
0,0,Louisiana,Ouachita,32.4271852,-92.2236667,2011
0,0,Louisiana,Ouachita,32.4271852,-92.2236667,2012
0,0,Louisiana,Ouachita,32.4271852,-92.2236667,2013
0,0,Louisiana,Ouachita,32.4271852,-92.2236667,2014
0,1,Louisiana,Ouachita,32.4271852,-92.2236667,2015
0,0,California,Chula Vista,32.640901,-117.084279,2010
0,1,California,Chula Vista,32.640901,-117.084279,2011
0,0,California,Chula Vista,32.640901,-117.084279,2012
0,0,California,Chula Vista,32.640901,-117.084279,2013
0,0,California,Chula Vista,32.640901,-117.084279,2014
0,0,California,Chula Vista,32.640901,-117.084279,2015
0,0,California,Coronado,32.6858853,-117.1830891,2010
0,0,California,Coronado,32.6858853,-117.1830891,2011
1,0,California,Coronado,32.6858853,-117.1830891,2012
1,0,California,Coronado,32.6858853,-117.1830891,2013
0,0,California,Coronado,32.6858853,-117.1830891,2014
0,0,California,Coronado,32.6858853,-117.1830891,2015
0,0,Arizona,Yuma,32.6926512,-114.6276916,2010
0,0,Arizona,Yuma,32.6926512,-114.6276916,2011
0,0,Arizona,Yuma,32.6926512,-114.6276916,2012
1,1,Arizona,Yuma,32.6926512,-114.6276916,2013
0,0,Arizona,Yuma,32.6926512,-114.6276916,2014
0,0,Arizona,Yuma,32.6926512,-114.6276916,2015
0,0,Texas,Texas Christian Universi,32.70953,-97.362795,2010
0,0,Texas,Texas Christian Universi,32.70953,-97.362795,2011
0,0,Texas,Texas Christian Universi,32.70953,-97.362795,2012
0,0,Texas,Texas Christian Universi,32.70953,-97.362795,2013
0,1,Texas,Texas Christian Universi,32.70953,-97.362795,2014
0,0,Texas,Texas Christian Universi,32.70953,-97.362795,2015
6,1,California,San Diego,32.715682,-117.161711,2010
10,0,California,San Diego,32.715682,-117.161711,2011
4,4,California,San Diego,32.715682,-117.161711,2012
3,8,California,San Diego,32.715682,-117.161711,2013
2,3,California,San Diego,32.715682,-117.161711,2014
5,6,California,San Diego,32.715682,-117.161711,2015
0,1,Arizona,Mammoth,32.722568,-110.6406547,2010
0,0,Arizona,Mammoth,32.722568,-110.6406547,2011
0,0,Arizona,Mammoth,32.722568,-110.6406547,2012
0,0,Arizona,Mammoth,32.722568,-110.6406547,2013
0,0,Arizona,Mammoth,32.722568,-110.6406547,2014
0,0,Arizona,Mammoth,32.722568,-110.6406547,2015
0,0,California,Port Of San Diego Harbor,32.7353163,-117.1772172,2010
0,0,California,Port Of San Diego Harbor,32.7353163,-117.1772172,2011
0,0,California,Port Of San Diego Harbor,32.7353163,-117.1772172,2012
0,0,California,Port Of San Diego Harbor,32.7353163,-117.1772172,2013
0,0,California,Port Of San Diego Harbor,32.7353163,-117.1772172,2014
1,0,California,Port Of San Diego Harbor,32.7353163,-117.1772172,2015
1,1,Texas,Arlington,32.735604,-97.107717,2010
0,0,Texas,Arlington,32.735604,-97.107717,2011
0,0,Texas,Arlington,32.735604,-97.107717,2012
0,0,Texas,Arlington,32.735604,-97.107717,2013
0,0,Texas,Arlington,32.735604,-97.107717,2014
1,0,Texas,Arlington,32.735604,-97.107717,2015
0,0,Texas,Grand Prairie,32.747701,-97.007199,2010
0,0,Texas,Grand Prairie,32.747701,-97.007199,2011
0,0,Texas,Grand Prairie,32.747701,-97.007199,2012
0,0,Texas,Grand Prairie,32.747701,-97.007199,2013
0,0,Texas,Grand Prairie,32.747701,-97.007199,2014
0,1,Texas,Grand Prairie,32.747701,-97.007199,2015
0,1,Texas,Fort Worth,32.750951,-97.330858,2010
0,3,Texas,Fort Worth,32.750951,-97.330858,2011
1,0,Texas,Fort Worth,32.750951,-97.330858,2012
0,0,Texas,Fort Worth,32.750951,-97.330858,2013
0,0,Texas,Fort Worth,32.750951,-97.330858,2014
1,2,Texas,Fort Worth,32.750951,-97.330858,2015
0,0,California,San Diego St University,32.7757217,-117.0718893,2010
0,0,California,San Diego St University,32.7757217,-117.0718893,2011
0,0,California,San Diego St University,32.7757217,-117.0718893,2012
0,0,California,San Diego St University,32.7757217,-117.0718893,2013
0,0,California,San Diego St University,32.7757217,-117.0718893,2014
0,1,California,San Diego St University,32.7757217,-117.0718893,2015
0,0,Texas,Dallas,32.778154,-96.795399,2010
1,0,Texas,Dallas,32.778154,-96.795399,2011
1,0,Texas,Dallas,32.778154,-96.795399,2012
